query	taxid	go
NODE_16_length_1184_cov_19.580558_g13_i0	9606	GO:0031100;GO:0045471;GO:0022904;GO:0006122;GO:0009055;GO:0042493;GO:0009408;GO:0001666;GO:0051592;GO:0046686;GO:0046689;GO:0015990;GO:0055093;GO:0014070;GO:0008121;GO:0055114;GO:0044877;GO:0009636;GO:0007584;GO:0016491;GO:0033590;GO:0010243;GO:0042538;GO:0046688;GO:0046872;GO:0033762;GO:0009725
NODE_17_length_1116_cov_3.162991_g14_i0	9606	GO:0060252;GO:0045109;GO:0030049;GO:0071222;GO:0032967;GO:0019901;GO:0014002;GO:0097110;GO:0071346;GO:0032355;GO:0005515;GO:0045107;GO:0060020;GO:0051721;GO:0046697;GO:0042802;GO:0010043;GO:0033280;GO:0016032;GO:0010628;GO:0009314;GO:0008022;GO:0007010;GO:0019221;GO:0008150;GO:0005212;GO:0043403;GO:0045727;GO:0071225;GO:0003725;GO:0045103;GO:0003674;GO:0010977;GO:0019900;GO:0010269;GO:0070307;GO:0043488;GO:0050770;GO:1900147;GO:0001701;GO:0005200;GO:0044344;GO:0007568;GO:0060395;GO:1990254;GO:0019904;GO:0045444;GO:0005198
NODE_18_length_1046_cov_102.923947_g15_i0	9606	GO:0019901;GO:0008137;GO:0032981;GO:0072593;GO:0055114;GO:0006120;GO:0035255;GO:0016491
NODE_19_length_991_cov_4.541394_g16_i0	981085	GO:0030001;GO:0046873
NODE_21_length_928_cov_33.329825_g18_i0	9606	GO:0042407;GO:0042776;GO:0015078;GO:0016887;GO:0055093;GO:0006754;GO:0006811;GO:0007568;GO:0015986;GO:0022857
NODE_22_length_912_cov_297.401669_g19_i0	9606	GO:0005515;GO:0008137;GO:0032981;GO:0006979;GO:0009642;GO:0071385;GO:0055114;GO:0006120;GO:0016491;GO:0009725
NODE_23_length_900_cov_2.984281_g20_i0	456482	GO:0009231;GO:0016829;GO:0016853;GO:0008686;GO:0046872
NODE_24_length_887_cov_51.425061_g21_i0	4113	GO:0003735;GO:0006412
NODE_25_length_881_cov_60.568069_g4_i1	981085	GO:0030001;GO:0046873
NODE_26_length_877_cov_42.371891_g22_i0	9606	GO:0006123;GO:0042773;GO:0010729;GO:0005515;GO:0005507;GO:2001171;GO:0004129;GO:0010940;GO:1902600;GO:0007595;GO:0055114;GO:0016491;GO:0009409;GO:0046872;GO:0022900
NODE_27_length_864_cov_451.931732_g23_i0	278052	GO:0006879;GO:0005102;GO:0005515;GO:0048019;GO:0043066;GO:0006915;GO:0004519;GO:0007186;GO:1900118;GO:0030595;GO:1900116;GO:0090305
NODE_28_length_849_cov_23.559278_g24_i0	981085	GO:0030001;GO:0046873
NODE_29_length_830_cov_4.334214_g25_i0	9606	GO:0032092;GO:0044267;GO:0055072;GO:1904437;GO:0006826;GO:0005515;GO:0071283;GO:0002480;GO:0045087;GO:0060333;GO:0042493;GO:0042802;GO:0050690;GO:0019885;GO:0046686;GO:0002726;GO:0002479;GO:0001916;GO:0033077;GO:0002237;GO:0002474;GO:0010977;GO:0002376;GO:0043312;GO:0050776;GO:1900121;GO:0045646;GO:0002481;GO:0001895;GO:1900122;GO:1900390;GO:0071281;GO:1904434;GO:0006955;GO:0048260;GO:0042026
NODE_30_length_817_cov_833.155914_g26_i0	8364	GO:0004672;GO:0006468;GO:0005524;GO:0000166;GO:0004674
NODE_31_length_788_cov_3.935664_g27_i0	981085	GO:0030001;GO:0046873
NODE_32_length_783_cov_3.425352_g28_i0	4113	GO:0003735;GO:0006412
NODE_33_length_782_cov_26.385049_g29_i0	9606	GO:0006123;GO:0015453;GO:0005515;GO:0022904;GO:0009055;GO:0004129;GO:1902600;GO:0008535;GO:0015002;GO:0055085;GO:0019646;GO:0009060
NODE_34_length_751_cov_32.820059_g30_i0	9606	GO:0033194;GO:0005515;GO:0008137;GO:0032981;GO:0042493;GO:0003954;GO:0014070;GO:0055114;GO:0006120;GO:0016491;GO:0009060
NODE_35_length_730_cov_666.101979_g31_i0	9606	GO:0006879;GO:0005102;GO:0005515;GO:0048019;GO:0043066;GO:0006915;GO:0007186;GO:1900118;GO:0030595;GO:1900116
NODE_36_length_730_cov_3.400304_g32_i0	9606	GO:0005515;GO:0060333;GO:0042590;GO:0055114;GO:0002376;GO:0016491;GO:0016667;GO:0019886
NODE_37_length_719_cov_9.069659_g33_i0	1306952	GO:0004519;GO:0003677;GO:0006281;GO:0004518;GO:0090305
NODE_38_length_717_cov_4.156832_g34_i0	31675	GO:0046081;GO:0008233;GO:0003964;GO:0016787;GO:0090503;GO:0002134;GO:0008152;GO:0004533;GO:0006226;GO:0003824;GO:0006508;GO:0016740;GO:0006310;GO:0004519;GO:0046718;GO:0000287;GO:0015074;GO:0003677;GO:0075713;GO:0044826;GO:0004523;GO:0008270;GO:0016779;GO:0004518;GO:0004190;GO:0003676;GO:0046872;GO:0090502;GO:0090305;GO:0004170;GO:0006278
NODE_39_length_704_cov_3.717908_g35_i0	456482	GO:0009231;GO:0055114;GO:0016829;GO:0016491;GO:0016853;GO:0008686;GO:0046872;GO:0003960
NODE_40_length_702_cov_9.769475_g36_i0	8030	GO:0004129;GO:1902600;GO:0022900
NODE_41_length_696_cov_823.609952_g37_i0	8364	GO:0004672;GO:0006468;GO:0005524;GO:0000166;GO:0004674
NODE_42_length_691_cov_1.058252_g38_i0	10090	GO:0003743;GO:0005515;GO:0003729;GO:0007507;GO:0045296;GO:0006413;GO:0006412;GO:0003723;GO:0030307;GO:0045727;GO:0007050;GO:0045773;GO:0003674;GO:0008135;GO:0034645;GO:0008219;GO:0006417;GO:0060999;GO:0006446;GO:0010507
NODE_43_length_665_cov_22.947635_g39_i0	9606	GO:0006879;GO:0055072;GO:0005515;GO:0006826;GO:0042802;GO:0008199;GO:0008198;GO:0005506;GO:0055114;GO:0043312;GO:0006880;GO:0046872;GO:0004322
NODE_44_length_661_cov_2.879252_g40_i0	9606	GO:0035774;GO:0042130;GO:0005515;GO:0032395;GO:0060333;GO:0007165;GO:0032673;GO:0051262;GO:0016032;GO:0051290;GO:0023026;GO:0046598;GO:0042609;GO:0002503;GO:0042605;GO:0033674;GO:0046718;GO:0002437;GO:0045893;GO:0016045;GO:0002376;GO:0042088;GO:0001934;GO:0001618;GO:0002455;GO:0019882;GO:0050852;GO:2001179;GO:0002504;GO:0002506;GO:0043123;GO:0002862;GO:0002381;GO:0019886;GO:0045657;GO:0043410;GO:0006955;GO:0070374;GO:0032689
NODE_45_length_659_cov_4.885666_g41_i0	9606	GO:0007015;GO:0005515;GO:0003785
NODE_46_length_650_cov_1.147314_g42_i0	9606	GO:0004602;GO:0005515;GO:0004364;GO:0006749;GO:0098869;GO:0016740;GO:0043651;GO:0035722;GO:1901687;GO:0030855
NODE_47_length_642_cov_4.256591_g43_i0	10029	GO:0003746;GO:0003924;GO:0005525;GO:0006414
NODE_48_length_641_cov_8.167254_g44_i0	9606	GO:0032696;GO:0034021;GO:0007566;GO:0042130;GO:0005515;GO:0042493;GO:0007565;GO:0007165;GO:0009410;GO:0032714;GO:0071774;GO:0019834;GO:0034097;GO:0032496;GO:0010193;GO:0000122;GO:0010033;GO:0043086;GO:0043488;GO:0051384;GO:0097160;GO:0032713;GO:0050727;GO:0032689
NODE_50_length_609_cov_5.044776_g46_i0	9606	GO:0060337;GO:0097191;GO:0097190;GO:0044827;GO:0005521;GO:0005515;GO:0045087;GO:0001102;GO:0042802;GO:0016032;GO:0006915;GO:0006919;GO:0070936;GO:0003674;GO:0000122;GO:0002376;GO:0051607;GO:0046825;GO:0043161
NODE_51_length_608_cov_314.568224_g23_i1	278052	GO:0006879;GO:0005102;GO:0005515;GO:0048019;GO:0043066;GO:0006915;GO:0004519;GO:0007186;GO:1900118;GO:0030595;GO:1900116;GO:0090305
NODE_52_length_608_cov_4.201869_g47_i0	9606	GO:0045786;GO:0008584;GO:0043065;GO:0005515;GO:0003682;GO:2000194;GO:0042771;GO:0065003;GO:0048147;GO:0035914;GO:0003677;GO:0009636;GO:0031401;GO:0008283;GO:0006473;GO:0002526
NODE_53_length_606_cov_1.009381_g48_i0	9606	GO:0006879;GO:0120162;GO:0071222;GO:0071356;GO:0055072;GO:0071347;GO:0045087;GO:0031669;GO:0070301;GO:0042493;GO:0010628;GO:0009635;GO:1903981;GO:0006915;GO:0006979;GO:0019221;GO:0009617;GO:0097192;GO:0097577;GO:0005506;GO:0042742;GO:0031346;GO:0019730;GO:0002376;GO:0043312;GO:0070207;GO:0010046;GO:0002020;GO:0042803;GO:0015891;GO:0006811;GO:0031667;GO:0009615;GO:0036094
NODE_54_length_605_cov_2.770677_g49_i0	9606	GO:0071346;GO:0017148;GO:0003735;GO:0003729;GO:0000184;GO:0006614;GO:0006413;GO:0006412;GO:0003723;GO:0006417;GO:1901194
NODE_55_length_604_cov_2.001883_g50_i0	9606	GO:0051015;GO:0030335;GO:0071673;GO:0042102;GO:0071672;GO:0071346;GO:0097178;GO:0051017;GO:0001774;GO:2000406;GO:0030041;GO:0090026;GO:0043066;GO:0045429;GO:0006911;GO:0071447;GO:0034097;GO:0010629;GO:0003674;GO:0051602;GO:0001934;GO:0051384;GO:0014739;GO:0031668;GO:0071315;GO:0021549;GO:0048662;GO:1900087;GO:0048678;GO:0032870;GO:0006954;GO:0003779;GO:0016601;GO:0046872;GO:0048661;GO:0005509
NODE_56_length_593_cov_2.394231_g51_i0	981085	GO:0015977;GO:0000287;GO:0006355;GO:0016984
NODE_58_length_585_cov_2.189453_g53_i0	9606	GO:0043687;GO:0002317;GO:0030395;GO:0044267;GO:0045445;GO:0005515;GO:0042493;GO:0006915;GO:0046598;GO:0071333;GO:0003723;GO:0031295;GO:0071407;GO:0010977;GO:0034120;GO:0048678;GO:0043236;GO:0042803;GO:0043123;GO:0035900;GO:0030246;GO:0010812;GO:0042981;GO:2001200
NODE_59_length_580_cov_1.439842_g54_i0	9606	GO:0060337;GO:0005515;GO:0045087;GO:0007165;GO:0042802;GO:0008017;GO:0006915;GO:0003924;GO:0003374;GO:0005525;GO:0034340;GO:0061025;GO:0002376;GO:0045071;GO:0000166;GO:0000266;GO:0051607;GO:0006952;GO:0009615
NODE_60_length_576_cov_1.807157_g55_i0	9606	GO:0016477;GO:0007166;GO:0002092;GO:0045807;GO:0002576;GO:0005515;GO:0050931;GO:0015031;GO:0007160;GO:0034613;GO:1901379;GO:0048757;GO:0043312;GO:1900746;GO:0035646;GO:2001046;GO:0043473
NODE_61_length_574_cov_1.650699_g56_i0	9606	GO:0015643;GO:0031625;GO:0071346;GO:0002827;GO:0032395;GO:0046635;GO:0002579;GO:0060333;GO:0002344;GO:0042605;GO:0048002;GO:1990405;GO:0002376;GO:0002455;GO:0019882;GO:0050852;GO:0002504;GO:0002381;GO:0046872;GO:0019886;GO:0006955;GO:0008134
NODE_62_length_572_cov_30.589178_g57_i0	7955	GO:0008150;GO:0003674
NODE_63_length_570_cov_772.784708_g58_i0	9541	GO:0035725;GO:0005272;GO:0006814;GO:0006811
NODE_64_length_566_cov_2.523327_g59_i0	9685	GO:0003735;GO:0006412
NODE_65_length_565_cov_3.558943_g60_i0	9606	GO:0010951;GO:0005515;GO:0032091;GO:0035821;GO:0045087;GO:0010466;GO:0003729;GO:0030414;GO:0019731;GO:0003677;GO:0042742;GO:0032496;GO:0002376;GO:0045071;GO:0043312;GO:0004866;GO:0004867;GO:0006955;GO:0019899
NODE_66_length_561_cov_24.274590_g61_i0	9606	GO:0006879;GO:0005515;GO:0006826;GO:0008285;GO:0042802;GO:0008199;GO:0048147;GO:0008198;GO:0005506;GO:0055114;GO:0060547;GO:0043312;GO:0097286;GO:0016491;GO:0006880;GO:0046872;GO:0004322;GO:0006955
NODE_67_length_560_cov_3.145791_g62_i0	1316254	GO:0045454;GO:0006979;GO:0098869;GO:0055114;GO:0016209;GO:0016491;GO:0051920;GO:0004601
NODE_68_length_557_cov_3.210744_g63_i0	9541	GO:0035774;GO:0042130;GO:0005515;GO:0032395;GO:0060333;GO:0007165;GO:0032673;GO:0051262;GO:0016032;GO:0051290;GO:0046598;GO:0023026;GO:0042609;GO:0002503;GO:0042605;GO:0033674;GO:0046718;GO:0002437;GO:0045893;GO:0016045;GO:0002376;GO:0042088;GO:0001934;GO:0001618;GO:0002455;GO:0019882;GO:0050852;GO:2001179;GO:0002504;GO:0002506;GO:0043123;GO:0002862;GO:0002381;GO:0019886;GO:0045657;GO:0043410;GO:0006955;GO:0070374;GO:0032689
NODE_69_length_557_cov_1.142562_g64_i0	9606	GO:0005515;GO:0003735;GO:0006412;GO:0003723
NODE_70_length_547_cov_17.670886_g65_i0	9606	GO:0019835;GO:0044267;GO:0016787;GO:0008152;GO:0042802;GO:0031640;GO:0003824;GO:0003796;GO:0050829;GO:0042742;GO:0019730;GO:0043312;GO:0050830;GO:0001895;GO:0006954;GO:0016798
NODE_71_length_546_cov_2.771670_g66_i0	9606	GO:0045730;GO:0007204
NODE_72_length_543_cov_3.787234_g67_i0	185431	GO:0016874;GO:0042493;GO:0061630;GO:0071596;GO:0035091;GO:0016567;GO:0006368;GO:0008270
NODE_73_length_527_cov_2.059471_g68_i0	1370023	GO:0016787
NODE_74_length_522_cov_1.757238_g69_i0	1316444	GO:0016787
NODE_75_length_522_cov_1.536748_g70_i0	9606	GO:0003735;GO:0006412;GO:0003723;GO:0019843
NODE_76_length_515_cov_1.678733_g71_i0	9606	GO:0040008;GO:0005515;GO:0003824;GO:0006098;GO:0016740;GO:0004802;GO:0005999;GO:0009052;GO:0048037;GO:0046166;GO:0042803;GO:0046872
NODE_77_length_514_cov_3.433107_g72_i0	9595	GO:0005509
NODE_78_length_513_cov_4.104545_g73_i0	9606	GO:0036041;GO:0120162;GO:0071356;GO:0051427;GO:0045892;GO:0008289;GO:0050873;GO:0005504;GO:0071285;GO:0009617;GO:0019433;GO:0050872;GO:0050729;GO:0005324;GO:0042632;GO:0015909;GO:0042750;GO:0001816;GO:0050727;GO:0006469
NODE_79_length_513_cov_1.588636_g74_i0	9606	GO:0120162;GO:0008670;GO:0070402;GO:0051289;GO:0006629;GO:0016651;GO:0055114;GO:0006635;GO:0006631;GO:0016491
NODE_80_length_507_cov_9.225806_g75_i0	243233	GO:0008150;GO:0003674
NODE_81_length_507_cov_3.389401_g76_i0	9606	GO:0048365;GO:0005515;GO:0006914;GO:0015031;GO:1902583;GO:0006622;GO:0019003;GO:0007174;GO:0016032;GO:0003924;GO:0006886;GO:1903542;GO:0005525;GO:1905366;GO:0006629;GO:1903543;GO:0045022;GO:0090382;GO:0090385;GO:0016042;GO:0090383;GO:0061724;GO:0022615;GO:0000166;GO:0043312;GO:0006897;GO:0032482;GO:0008333;GO:1905394;GO:0016197;GO:0045453;GO:0019076;GO:0042147;GO:0048524;GO:0019886;GO:0045732;GO:0000045
NODE_83_length_490_cov_40.736211_g78_i0	9606	GO:0042773;GO:0008137;GO:0016651;GO:0055114;GO:0006120;GO:0016491
NODE_84_length_490_cov_1.880096_g79_i0	9646	GO:0031625;GO:0032436;GO:0019788;GO:0097602;GO:0061630;GO:0045116;GO:0031146;GO:0016567;GO:0034450;GO:0008270;GO:0006513;GO:0030163;GO:0004842;GO:0043161;GO:0008134
NODE_86_length_488_cov_1.653012_g81_i0	9606	GO:0043274;GO:0033344;GO:0034372;GO:0070328;GO:0016004;GO:0034382;GO:0060697;GO:0042493;GO:0034370;GO:0008289;GO:0001523;GO:0010518;GO:0033700;GO:0051006;GO:0043691;GO:0034371;GO:0008047;GO:0006629;GO:0045833;GO:0016042;GO:0010916;GO:0010898;GO:0055102;GO:0006869;GO:0010902;GO:0043086;GO:0042632;GO:0042953;GO:0032375;GO:0048261;GO:0034384;GO:0042803;GO:0045723;GO:0034375;GO:0060230;GO:0034378
NODE_87_length_483_cov_1.107317_g82_i0	9606	GO:0008083;GO:0005515;GO:0010469;GO:0007165;GO:0005125;GO:0003723;GO:0043312
NODE_88_length_481_cov_3.401961_g83_i0	981085	GO:0030001;GO:0046873
NODE_89_length_475_cov_1.813433_g84_i0	1306952	GO:0004519;GO:0003677;GO:0006281;GO:0004518;GO:0090305
NODE_90_length_472_cov_4.157895_g85_i0	412755	GO:0046677;GO:0005515;GO:0016787;GO:0008800;GO:0046872;GO:0030655
NODE_91_length_471_cov_2.293970_g86_i0	9544	GO:0003735;GO:0006412;GO:0003723
NODE_92_length_469_cov_6.997475_g87_i0	9606	GO:0051005;GO:0033344;GO:0004859;GO:0034379;GO:0034382;GO:0042157;GO:0010900;GO:0031210;GO:0034369;GO:0033700;GO:0005504;GO:0006629;GO:0045833;GO:0010916;GO:0008203;GO:0055102;GO:0006869;GO:0050995;GO:0032374;GO:0043085;GO:0032375;GO:0048261;GO:0006641;GO:0060228;GO:0045717;GO:0034375;GO:0034447;GO:0010873
NODE_93_length_468_cov_2.321519_g88_i0	9606	GO:0010951;GO:0018149;GO:0004869;GO:0010466;GO:0030414;GO:0007155;GO:0045861;GO:0030674;GO:0030216;GO:0070268;GO:0098609;GO:0004866;GO:0002020;GO:0005198
NODE_94_length_461_cov_2.175258_g89_i0	9606	GO:0043687;GO:0010951;GO:0007596;GO:0048208;GO:0044267;GO:0002576;GO:0005515;GO:0007599;GO:0010466;GO:0042802;GO:0030414;GO:0043312;GO:0002020;GO:0004867;GO:0006953;GO:0006888
NODE_95_length_461_cov_1.677835_g90_i0	9544	GO:0004602;GO:0019370;GO:0005515;GO:0004364;GO:0004464;GO:0006805;GO:0098869;GO:0016740;GO:0006629;GO:1901687;GO:0010243
NODE_96_length_459_cov_1.398964_g91_i0	7998	GO:0003735;GO:0002181;GO:0006412
NODE_97_length_457_cov_1.252604_g92_i0	9606	GO:0034976;GO:0097352;GO:0005515;GO:0006914;GO:0031396;GO:0042802;GO:1901340;GO:0030433;GO:0034140;GO:0016236;GO:0071456;GO:0031593;GO:1902175;GO:0035973;GO:0019900;GO:0031398;GO:1903071;GO:0000045
NODE_98_length_456_cov_3.174935_g93_i0	9606	GO:0019903;GO:2001189;GO:0045637;GO:0050860;GO:0005515;GO:1903078;GO:0048246;GO:0045087;GO:0019863;GO:0048245;GO:0030154;GO:0045806;GO:2000521;GO:1902041;GO:0008380;GO:0070232;GO:0050918;GO:0003723;GO:0090280;GO:0002376;GO:2001237;GO:0090073;GO:0042129;GO:0043312;GO:0002548;GO:1903614;GO:0042056;GO:0006397;GO:0004864;GO:0071674;GO:0030593;GO:0043236;GO:0030246;GO:0071677;GO:2001200;GO:0030855
NODE_99_length_455_cov_1.900524_g94_i0	9606	GO:0010744;GO:0030301;GO:0005515;GO:0005044;GO:0010886;GO:0006898;GO:0006911;GO:0097242;GO:0010629;GO:0034381;GO:0006897;GO:0042953;GO:0001540;GO:0030169
NODE_100_length_453_cov_2.318421_g95_i0	9606	GO:0010951;GO:0008344;GO:0004869;GO:0010466;GO:0030414;GO:0003723;GO:0045861;GO:0043312;GO:0004866;GO:0002020
NODE_101_length_452_cov_2.923483_g96_i0	9606	GO:0042102;GO:0071346;GO:0032395;GO:0032729;GO:0060333;GO:0042605;GO:0002376;GO:0019882;GO:0050852;GO:0002504;GO:0050870;GO:0019886;GO:0006955
NODE_102_length_437_cov_1.035714_g97_i0	9606	GO:0033344;GO:0034379;GO:0005515;GO:0016746;GO:0000062;GO:0010742;GO:0016740;GO:0006629;GO:0008374;GO:0042986;GO:0010878;GO:0008203;GO:0034435;GO:0015485;GO:0008202;GO:0042632;GO:0034383;GO:0004772;GO:0034736
NODE_103_length_435_cov_3.110497_g98_i0	9606	GO:0016310;GO:0030316;GO:0002283;GO:0005102;GO:0005515;GO:0045087;GO:0007165;GO:0042802;GO:0016301;GO:0035556;GO:0043312;GO:0007229;GO:0002281;GO:0050776;GO:0006968;GO:2001204
NODE_104_length_432_cov_1.607242_g99_i0	1028803	GO:0016787
NODE_105_length_430_cov_2.030812_g100_i0	9606	GO:0061844;GO:0005515;GO:0003735;GO:0000184;GO:0002181;GO:0031640;GO:0006614;GO:0006413;GO:0006412;GO:0003723;GO:0050829
NODE_106_length_429_cov_1.553371_g101_i0	9595	GO:1905573;GO:0006687;GO:0071310;GO:0060742;GO:0002576;GO:0005515;GO:0019216;GO:0007193;GO:0043408;GO:0008289;GO:1905576;GO:0006665;GO:0001664;GO:1905575;GO:0008047;GO:0006629;GO:0006869;GO:1905577;GO:0043312;GO:0010506;GO:0060736;GO:0043085;GO:0007186;GO:1905574;GO:0042803;GO:0005543;GO:1903206;GO:0004565;GO:1905572;GO:0048589;GO:0043410
NODE_107_length_427_cov_1.440678_g102_i0	419109	GO:0046677;GO:0005515;GO:0016787;GO:0008800;GO:0046872;GO:0030655
NODE_108_length_427_cov_0.954802_g103_i0	981085	GO:0015977;GO:0000287;GO:0016984
NODE_109_length_425_cov_7.897727_g104_i0	225400	GO:0006355
NODE_110_length_422_cov_1.406877_g105_i0	9606	GO:0008083;GO:0004860;GO:0010469;GO:0006468;GO:2000249;GO:0008047;GO:0071933;GO:0043312;GO:0043085;GO:0034316;GO:0071846;GO:0003779;GO:0006469
NODE_111_length_418_cov_1.350725_g106_i0	9606	GO:0010760;GO:0032760;GO:0033981;GO:0050729;GO:0005126;GO:0042438;GO:0016829;GO:0050178;GO:0004167;GO:0070374
NODE_112_length_417_cov_5.191860_g107_i0	225400	GO:0003735;GO:0006414
NODE_114_length_414_cov_2.689150_g109_i0	9258	GO:0005515;GO:0016787;GO:0003735;GO:0000184;GO:0000049;GO:0006614;GO:0006413;GO:0006412;GO:0003723;GO:0000028
NODE_115_length_413_cov_1.035294_g110_i0	9606	GO:0016597;GO:0005515;GO:0016787;GO:0043105;GO:0004857;GO:0065003;GO:0042133;GO:0044549;GO:0030742;GO:0051186;GO:0051291;GO:0009890;GO:0019899;GO:0006809
NODE_116_length_412_cov_1.802360_g111_i0	1268978	GO:0045892;GO:0042802;GO:0001141;GO:0003677;GO:0000986;GO:0006355;GO:0006351
NODE_117_length_408_cov_194.214925_g112_i0	8364	GO:0004672;GO:0006468;GO:0005524;GO:0000166;GO:0004674
NODE_118_length_407_cov_3.179641_g113_i0	9598	GO:0003735;GO:0002181;GO:0006412;GO:0019843
NODE_119_length_403_cov_1.527273_g114_i0	9606	GO:0008375;GO:0006687;GO:0044267;GO:0009313;GO:0008654;GO:0005515;GO:0016787;GO:0042340;GO:0007341;GO:0030207;GO:0006689;GO:0030203;GO:0008152;GO:0008360;GO:0043615;GO:0102148;GO:0004563;GO:0008049;GO:0045944;GO:0050885;GO:0048477;GO:0030214;GO:0046982;GO:0019953;GO:0004553;GO:0043312;GO:0031323;GO:0007338;GO:0005975;GO:0006874;GO:0007040;GO:0042552;GO:0042803;GO:0016798;GO:0019915;GO:0007626;GO:0007605;GO:0050905;GO:0001501
NODE_120_length_402_cov_2.428571_g115_i0	8665	GO:0046872
NODE_121_length_402_cov_1.583587_g116_i0	9595	GO:0060337;GO:0016793;GO:0006260;GO:0046061;GO:0003697;GO:0016787;GO:0005515;GO:0045087;GO:0006203;GO:0008152;GO:0051289;GO:0042802;GO:0003824;GO:0045088;GO:0005525;GO:0000724;GO:0110025;GO:0004540;GO:0003723;GO:0016446;GO:0009264;GO:0032567;GO:0008832;GO:0002376;GO:0000166;GO:0008270;GO:0006974;GO:0006281;GO:0090501;GO:0051607;GO:0003676;GO:0046872;GO:0006955;GO:0060339
NODE_123_length_400_cov_1.174312_g118_i0	9595	GO:0005515;GO:0042493;GO:0016740;GO:0003677;GO:0003950;GO:0006974;GO:0006471;GO:0006281;GO:0008219;GO:0051972;GO:0006954;GO:0006464;GO:0016757;GO:0019899
NODE_124_length_399_cov_2.153374_g119_i0	9541	GO:0003735;GO:0006412
NODE_125_length_399_cov_1.398773_g120_i0	4113	GO:0003735;GO:0006412
NODE_126_length_398_cov_3.676923_g121_i0	37623	GO:0003735;GO:0006412;GO:0003723;GO:0019843;GO:0046872
